虚拟偶像 演员
"一个魂" 粉丝
抗议 拒绝
工资低 底薪
工资 薪酬
主要 重要
以及 和
各种 各类
剥削 抽剥
任何 任意
所有 任何
在意 在乎
中之人 其中演员
压榨 剥削
肯定 一定
成不了真 不会成真
强行 被强迫
事实 真实发生的事件
PUA 霸凌
正视 正面回答
健康 身体健康
宣布 声称
强制 强迫
运营 管理
健康 身体
休眠 毕业
致使 导致
成员 中之人
过大 较大
优秀 很棒
尊重 重视
霸凌 剥削
逼迫 强迫
艺人 中之人
想 梦想
入团 加入团队
本来 原本
恶心 令人作呕
降低 减少
梦 梦想
侮辱 辱骂
保障 确保
反对 抗议
善待 优待
资本 万恶的资本
AI 人工智能
方向 路径
加班 上班
受伤 伤势
表演 演出
职场 婚恋
辱骂 侮辱
色情 情色
管理人员 职员
资本 民资
劳动者 劳动
礼物 礼品
伤痕累累 支离破碎
虚拟 交互式
流血 流泪
虚拟 交互式
侃侃而谈 谈起
待命 驻守
呼吸 体温
负责人 相关人士
无非 不外乎
放任 纵容
粉丝 歌迷
从来不 从不
AI 人工智能
一群 一大群
二次元 ACG
相信 坚信
AI 人工智能
每一分 每一秒
合成 制备
腰伤 脚伤
应届生 高职
AI 人工智能
虚拟 交互式
方向 路径
出镜 客串
加班 上班
受伤 伤势
表演 演出
辱骂 侮辱
色情 情色
管理人员 职员
劳动者 劳工
礼物 礼品
项目 工程项目
伤痕累累 支离破碎
虚拟 交互式
流血 流泪
随手 随意
梦想 幻想
虚拟 交互式
侃侃而谈 谈起
负责人 相关人士
无非 不外乎
放任 纵容
从来不 从不
AI 人工智能
一群 一大群
二次元 ACG
相信 坚信
AI 人工智能
合成 制备
状况 情况
声带 喉咙
企划 企画
虚拟 交互式
扮演者 饰演者
设备 电子设备
划伤 割伤
佩戴 配戴
真人 布偶
穿戴 佩戴
场地 场馆
实时 动态
捕捉 抓取
方向 路径
出镜 客串
无法 难以
真人 布偶
面部 脸部
切换 转换
加班 上班
两点钟 后半夜
辟谣 澄清
休息时间 休息
叫醒 吵醒
每周 每星期
训练 体能训练
受伤 伤势
表演 演出
扭伤 拉伤
胃痛 腹痛
管理层 高管
训练 体能训练
成员 核心成员
重视 注重
辱骂 侮辱
色情 情色
管理人员 职员
宿舍 宿舍楼
出入 进出
表演 演出
运营 营运
营业 营运
要求 建议
劳动者 劳动
她们 她
职场 婚恋
大厂 生产商
鼓掌 欢呼
连续 已连续
加班 上班
真人 布偶
穿戴 佩戴
管理人员 职员
场地 场馆
捕捉 抓取
声带 喉咙
奔赴 付出
礼物 礼品
人格尊严 尊严
占满 填满
项目 工程项目
暴露出 折射出
肮脏 可憎
运营 营运
研发 研制
伤痕累累 支离破碎
虚拟 交互式
流血 流泪
一枚 两枚
流泪 落泪
笑容 微笑
形象 形像
待命 驻守
养活 过活
服从 顺从
缺点 优点
优点 缺点
随时 即时
忍不住 不禁
难道 为什么
绝对 当然
负责人 相关人士
确实 的确
不好 不太好
需要 须要
目前 现阶段
无非 不外乎
放任 纵容
践踏 残害
丑陋 丑恶
忘记 忘掉
从此 自此
样子 模样
从来不 从不
AI 人工智能
企划 企画
热爱 爱好
廉价 低成本
舞台 银幕
一群 一大群
二次元 ACG
相信 坚信
终会 终将
得到 获得
正义 公义
合法权益 权益
劳动者 劳动
认可 普遍认可
尊重 认同
AI 人工智能
每一分 每一秒
泥沼 泥潭
忍痛 执意
犯下 所犯
井下 矿井
些许 少许
机器人 机器
浪漫 唯美
鞭子 棍棒
